topic,rank,keyword,weight
0,1,scam,0.014210184860862037
0,7,synthetic identity,0.0065369895675200015
0,9,commerce fraud,0.0063661587841265166
0,10,chargeback fraud,0.006210886618660016
0,14,fraud manager,0.005531273183980499
0,22,fraud risk,0.004791290629342843
0,24,fraud management,0.004717260145151414
0,28,scammers,0.004365896016317438
0,34,fraud occurs,0.004029647513908407
0,35,prevent fraud,0.0039525983431516285
0,37,fraud monitoring,0.003908449732100736
1,1,fraudaction,0.030301522750107196
1,7,outseer fraudaction,0.012267847761389427
1,9,digital fraud,0.011028877454248995
1,20,mobile phishing,0.008134288562518409
1,41,phishing threats,0.00557821871556132
1,42,phishing protection,0.005515279506693444
1,44,fraud trends,0.005503401312708344
2,14,identity proofing,0.011728848638340025
2,43,prevent fraud,0.0066863294528975705
